,,,,,,,
,Date,Mileage,Front gal,Rear gal,Notes:,bio front,bio rear
,03/21/18,,11.2,10.3,,,
,04/08/18,,5.8,,,,
,09/16/18,66551,,,,,
,09/18/18,66619,3.58,,full oil,,
,09/19/18,,,11.29,,,
,10/13/18,66900,12.5,5,,,
,10/22/18,67076,9.9,,,,
,10/23/18,67277,14.6,,,,
,10/25/18,67345,4.5,1,,,
,11/08/18,67422,6.7,,oil change,,
,01/08/19,67565,12,11,,,
,03/22/19,67675,8.6,,,,
,03/28/19,67959,17.9,,,,
,04/26/19,68090,0.5,10.5,,,
,05/19/19,68373,7.5,11,,,
,09/08/19,68453,,8,,,
,09/22/19,68628,,12.9,,,
,11/05/19,68730,10.2,,,,
,11/15/19,69010,,13.2,,,
,01/28/20,69146,8.3,,,,
,03/17/20,69233,4.2,11,,,
,05/30/20,69569,15,,,,
,06/15/20,69625,,13.1,,,
,06/27/20,69740,9.7,,,,
,08/09/20,70090,,,,,
,08/26/20,70230,8,12.2,,,
,08/31/20,,,13,Reggie ownership,,
,09/02/20,70640,14.9,,,,
,10/16/20,70858,13,,,,
,10/16/20,70945,6.45,5,,,
,10/16/20,71199,,,,,
,10/21/20,71212,15.63,,,,
,10/24/20,71307,,,,,
,10/25/20,71444,11.5,7.6,,,
,10/29/20,71618,10.35,,oil change,,
,11/09/20,71815,14.69,,,,
,11/18/20,71947,9.3,2.4,,,
,12/18/20,72025,2.4,4.6,,,
,12/20/20,72365,13.9,9.5,,,
,12/20/20,72595,5.3,9.3,,,
,12/20/20,72896,13.6,7.6,,,
,01/02/21,73072,12.3,,,,
,01/02/21,73072,12.38,,,,
,01/02/21,73169,7.06,,,,
,01/02/21,73303,9.34,,,,
,01/02/21,73503,13.45,,,,
,01/02/21,73619,,7.8,,,
,01/15/21,73929,10.2,7.7,,,
,01/23/21,,,,new glow plugs x 8,,
,02/03/21,74066,10.8,,,,
,02/15/21,74201,12.2,,,,
,03/17/21,74350,11.72,,,,
,03/20/21,74513,12.1,,,,
,03/24/21,74755,8.3,12.46,,,
,03/26/21,75055,12.74,6.8,,,
,03/27/21,75376,10.3,,,,
,03/27/21,75574,12.38,,,,
,04/03/21,75762,13.27,,return line orings,,
,04/12/21,75917,10.3,,,,
,04/17/21,76112,,,,,
,04/18/21,76155,12.5,3.4,,,
,04/19/21,76463,10,7,,,
,04/20/21,76648,5.2,10.3,,,
,04/20/21,76797,10.2,,,,
,04/28/21,77100,11.76,6.1,,,
,05/15/21,77331,13.7,4.1,,,
,06/02/21,77576,12.75,1.5,,,
,07/24/21,77791,9,8.9,,,
,08/17/21,78007,12.61,3.5,,,
,08/22/21,,,,1 qt. 15-40,,
,08/30/21,78259,14,4,,,
,09/06/21,78414,,,2/3 qt. 15-40,,
,09/11/21,78558,14.2,6.4,,,
,09/13/21,,,,oil change + oil filter,,
,09/21/21,78722,11.25,,,,
,10/01/21,78913,,7.75,,,1.5
,10/02/21,78939,8.8,,,2,
,10/06/21,79063,,,1 qt. 15-40,,
,10/10/21,79187,,,½ qt. 15-40,,
,10/10/21,79202,9.08,8.05,,2.5,2
,10/16/21,79404,12.8,2.1,½ qt. 15-40,,
,10/19/21,79693,11.04,9.24,,,
,10/23/21,79834,,,1 ½ qt. 15-40,,
,10/31/21,79985,,8.8,,,
,11/16/21,80083,,3,"tire rotation, brake booster, master cylinder",,
,11/27/21,80114,14.3,6.5,,,
,12/07/21,80283,12.9,,,,
,12/08/21,80570,12.2,9.8,b20,,
,12/09/21,80870,11.7,7.8,¾ qt. 15-40,,
,12/10/21,81181,13.7,6.6,,,
,12/11/21,81486,12.4,7.6,,,
,12/14/21,81725,12.4,4.6,1 qt. 10-40; ½ qt. 15-40,,
,12/18/21,82033,13.15,7.5,,,
,12/20/21,82326,13.8,7,,,
,12/22/21,82363,,,½ qt. 15-40,,
,12/24/21,,,,rear driver wheel cylinder,,
,12/31/21,82584,9.8,2,oil change + oil filter,5,3
,01/01/22,82861,15,6.2,,,
,01/02/22,83113,14.7,3.2,,,
,01/02/22,83404,11.25,6.9,1 qt. 15-40,,
,01/29/22,,,,clean battery terms,,
,02/10/22,83684,6.3,4.3,,6,5
,02/19/22,83970,6,4.5,1 qt. 15-40,7,5
,04/02/22,84169,12.7,,,,
,04/04/22,84263,,,1 qt. 15-40,,
,05/13/22,84358,2.5,,,8.5,
,06/11/22,84471,,,,0.07,7.8
,06/15/22,84649,,,1 qt. 15-40,,
,06/16/22,84692,11.7,1,,,
,06/24/22,84921,4,2.75,,6,2
,07/03/22,85140,,,oil change + oil filter,,
,08/12/22,85224,4,3,,7,3
,08/20/22,85382,10,,fuel filter,,
,09/22/22,85555,12.3,,,,
,10/09/22,85831,3,1,1 qt. 15-40,9.9,3.5
,10/28/22,86048,3,,,9.2,5.1
,12/02/22,86236,9.5,,,6,
,12/03/22,86298,,8.1,,,
,12/23/22,86412,11.3,,.8 qt. 15-40,,
,02/01/23,86630,10.47,5.2,1 qt. 15-40,,
,03/07/23,86671,10.46,,,,
,04/02/23,86841,,,,5.5,0.8
,04/03/23,87075,10.4,3.4,,,
,04/03/23,87346,10.5,5,.9 qt. 15-40,,
,04/04/23,87662,10.7,7,,,
,04/08/23,87838,11.9,,.5 qt. 15-40,,
,04/10/23,88074,7.3,7.3,r99,,
,04/12/23,88210,10.79,5.2,r99; 1qt. 15-40; tyre rotation,,
,04/16/23,88512,10.8,1.2,,,
,04/16/23,88704,9.7,2,1 qt. 15-40,,
,04/16/23,88991,11,5.5,,,
,05/13/23,89248,,,oil change + oil filter; cold air intake filter; valve cover gasket,,
,05/16/23,89286,,2.7,,2.2,1.3
,05/16/23,89327,8.8,5.7,,,
,05/24/23,,,,Rear pinion seal; rear u-joint replace; rear diff fill 75-90,,
,05/31/23,89464,11.2,,,,
,06/22/23,89721,,,,3,2
,06/23/23,89758,,5,,,
,06/23/23,89789,7.3,6,,,
,07/26/23,90008,9.6,3.4,,,
,07/27/23,90040,,,.75 qt. 15-40,,
,08/05/23,90217,,,1 qt. 15-40,,
,08/05/23,90240,10,6,,,
,08/12/23,90396,10.5,,,,
,08/19/23,90595,9.3,3.8,1 qt. 15-40,,
,09/20/23,90828,9.75,7.65,,,
,09/24/23,90937,,,1 qt. 15-40,,
,10/07/23,90979,,,,4,0.5
,10/12/23,91067,,2.06,,,
,10/14/23,92086,5.8,6.4,,,
,11/08/23,91333,,9,,,
,11/27/23,91407,5.5,,,,
,11/30/23,91424,,7,,,
,12/02/23,91468,4.3,5,,,
,12/13/23,91954,8.1,2.6,,,
,12/21/23,91756,,,1 qt. 15-40,,
,01/15/24,91937,13.36,8.9,,,
,02/06/24,92145,11.25,6,,,
,03/06/24,92362,11.85,5.5,new clutch bracket,,
,03/21/24,92579,9.2,7,oil change,,
,04/15/24,92833,10,8,,,
,04/23/24,93055,11,5,,,
,04/28/24,93301,11,6,,,
,05/17/24,93548,10.8,8,1.5 qt. 15-40,,
